ts,session_id,participant_id,condition,event_type,payload
2026-08-13 13:25:27.052692,s1,p1,transparency_off,task_start,"{""task_id"": ""ticket_triage_v1""}"
2026-08-13 13:25:27.057361,s1,p1,transparency_off,action_proposed,"{""id"": ""t1"", ""is_correct"": true}"
2026-08-13 13:25:27.058320,s1,p1,transparency_off,action_proposed,"{""id"": ""t2"", ""is_correct"": false}"
2026-08-13 13:25:27.059082,s1,p1,transparency_off,action_proposed,"{""id"": ""t3"", ""is_correct"": true}"
2026-08-13 13:25:27.059774,s1,p1,transparency_off,action_proposed,"{""id"": ""t4"", ""is_correct"": true}"
2026-08-13 13:25:27.060380,s1,p1,transparency_off,action_proposed,"{""id"": ""t5"", ""is_correct"": false}"
2026-08-13 13:25:27.060954,s1,p1,transparency_off,action_proposed,"{""id"": ""t6"", ""is_correct"": true}"
2026-08-13 13:25:27.061451,s1,p1,transparency_off,action_proposed,"{""id"": ""t7"", ""is_correct"": true}"
2026-08-13 13:25:27.061923,s1,p1,transparency_off,action_proposed,"{""id"": ""t8"", ""is_correct"": false}"
2026-08-13 13:25:27.062375,s1,p1,transparency_off,action_proposed,"{""id"": ""t9"", ""is_correct"": true}"
2026-08-13 13:25:27.062896,s1,p1,transparency_off,action_proposed,"{""id"": ""t10"", ""is_correct"": true}"
2026-08-13 13:25:33.786533,s1,p1,transparency_on,task_start,"{""task_id"": ""ticket_triage_v1""}"
2026-08-13 13:25:33.788223,s1,p1,transparency_on,action_proposed,"{""id"": ""t1"", ""is_correct"": true}"
2026-08-13 13:25:33.789184,s1,p1,transparency_on,action_proposed,"{""id"": ""t2"", ""is_correct"": false}"
2026-08-13 13:25:33.789929,s1,p1,transparency_on,action_proposed,"{""id"": ""t3"", ""is_correct"": true}"
2026-08-13 13:25:33.790565,s1,p1,transparency_on,action_proposed,"{""id"": ""t4"", ""is_correct"": true}"
2026-08-13 13:25:33.791084,s1,p1,transparency_on,action_proposed,"{""id"": ""t5"", ""is_correct"": false}"
2026-08-13 13:25:33.791591,s1,p1,transparency_on,action_proposed,"{""id"": ""t6"", ""is_correct"": true}"
2026-08-13 13:25:33.792148,s1,p1,transparency_on,action_proposed,"{""id"": ""t7"", ""is_correct"": true}"
2026-08-13 13:25:33.792722,s1,p1,transparency_on,action_proposed,"{""id"": ""t8"", ""is_correct"": false}"
2026-08-13 13:25:33.793303,s1,p1,transparency_on,action_proposed,"{""id"": ""t9"", ""is_correct"": true}"
2026-08-13 13:25:33.793870,s1,p1,transparency_on,action_proposed,"{""id"": ""t10"", ""is_correct"": true}"
2026-08-14 10:41:11.729151,s1,p1,transparency_on,task_start,"{""task_id"": ""ticket_triage_v1""}"
2026-08-14 10:41:11.732496,s1,p1,transparency_on,action_proposed,"{""id"": ""t1"", ""is_correct"": true}"
2026-08-14 10:41:11.733202,s1,p1,transparency_on,action_proposed,"{""id"": ""t2"", ""is_correct"": false}"
2026-08-14 10:41:11.733780,s1,p1,transparency_on,action_proposed,"{""id"": ""t3"", ""is_correct"": true}"
2026-08-14 10:41:11.734320,s1,p1,transparency_on,action_proposed,"{""id"": ""t4"", ""is_correct"": true}"
2026-08-14 10:41:11.734849,s1,p1,transparency_on,action_proposed,"{""id"": ""t5"", ""is_correct"": false}"
2026-08-14 10:41:11.735339,s1,p1,transparency_on,action_proposed,"{""id"": ""t6"", ""is_correct"": true}"
2026-08-14 10:41:11.736138,s1,p1,transparency_on,action_proposed,"{""id"": ""t7"", ""is_correct"": true}"
2026-08-14 10:41:11.736720,s1,p1,transparency_on,action_proposed,"{""id"": ""t8"", ""is_correct"": false}"
2026-08-14 10:41:11.737373,s1,p1,transparency_on,action_proposed,"{""id"": ""t9"", ""is_correct"": true}"
2026-08-14 10:41:11.737878,s1,p1,transparency_on,action_proposed,"{""id"": ""t10"", ""is_correct"": true}"
2026-08-14 13:37:05.239058,s1,p1,transparency_on,task_start,"{""task_id"": ""ticket_triage_v1""}"
2026-08-14 13:37:05.247292,s1,p1,transparency_on,action_proposed,"{""id"": ""t1"", ""is_correct"": true}"
2026-08-14 13:37:05.247754,s1,p1,transparency_on,action_proposed,"{""id"": ""t2"", ""is_correct"": false}"
2026-08-14 13:37:05.248196,s1,p1,transparency_on,action_proposed,"{""id"": ""t3"", ""is_correct"": true}"
2026-08-14 13:37:05.248669,s1,p1,transparency_on,action_proposed,"{""id"": ""t4"", ""is_correct"": true}"
2026-08-14 13:37:05.249106,s1,p1,transparency_on,action_proposed,"{""id"": ""t5"", ""is_correct"": false}"
2026-08-14 13:37:05.249532,s1,p1,transparency_on,action_proposed,"{""id"": ""t6"", ""is_correct"": true}"
2026-08-14 13:37:05.249908,s1,p1,transparency_on,action_proposed,"{""id"": ""t7"", ""is_correct"": true}"
2026-08-14 13:37:05.250321,s1,p1,transparency_on,action_proposed,"{""id"": ""t8"", ""is_correct"": false}"
2026-08-14 13:37:05.250802,s1,p1,transparency_on,action_proposed,"{""id"": ""t9"", ""is_correct"": true}"
2026-08-14 13:37:05.251155,s1,p1,transparency_on,action_proposed,"{""id"": ""t10"", ""is_correct"": true}"
2026-08-14 13:37:05.254425,s1,p1,transparency_on,task_start,"{""task_id"": ""ticket_triage_v1""}"
2026-08-14 13:37:05.255205,s1,p1,transparency_on,action_proposed,"{""id"": ""t1"", ""is_correct"": true}"
2026-08-14 13:37:05.255672,s1,p1,transparency_on,action_proposed,"{""id"": ""t2"", ""is_correct"": false}"
2026-08-14 13:37:05.256066,s1,p1,transparency_on,action_proposed,"{""id"": ""t3"", ""is_correct"": true}"
2026-08-14 13:37:05.256462,s1,p1,transparency_on,action_proposed,"{""id"": ""t4"", ""is_correct"": true}"
2026-08-14 13:37:05.256872,s1,p1,transparency_on,action_proposed,"{""id"": ""t5"", ""is_correct"": false}"
2026-08-14 13:37:05.257220,s1,p1,transparency_on,action_proposed,"{""id"": ""t6"", ""is_correct"": true}"
2026-08-14 13:37:05.257554,s1,p1,transparency_on,action_proposed,"{""id"": ""t7"", ""is_correct"": true}"
2026-08-14 13:37:05.257869,s1,p1,transparency_on,action_proposed,"{""id"": ""t8"", ""is_correct"": false}"
